reaction_id,reaction_name,reaction_equation,lower_bound,upper_bound,gene_reaction_rule,subsystem
ANPRT,Anthranilate phosphoribosyltransferase,anth_c + prpp_c --> ppi_c + pran_c,0.0,999999.0,YDR354W,
ATPS3v,ATP synthase  vacuole,adp_v + 3.0 h_c + pi_v --> atp_v + h2o_v + 2.0 h_v,0.0,999999.0,YBR127C and YDL185W and YEL027W and YEL051W and YGR020C and YHR026W and YHR039C_A and YKL080W and YLR447C and YOR270C and YOR332W and YPL234C and YPR036W,
3DSPHR,3 Dehydrosphinganine reductase,3dsphgn_c + h_c + nadph_c --> nadp_c + sphgn_c,0.0,999999.0,YBR265W,
ATPtm_H,ADPATP transporter  mitochondrial,adp_c + atp_m + h_c --> adp_m + atp_c + h_m,0.0,999999.0,YBR085W or YBL030C or YMR056C,
ATPtp_H,ADPATP transporter  peroxisomal,adp_x + atp_c + h_x --> adp_c + atp_x + h_c,0.0,999999.0,YPR128C,
ANS,Anthranilate synthase,chor_c + gln__L_c --> anth_c + glu__L_c + h_c + pyr_c,0.0,999999.0,YER090W and YKL211C,
AOBUTDs,L-2-amino-3-oxobutanoate decarboxylation (spontaneous),2aobut_c + h_c --> aact_c + co2_c,0.0,999999.0,,
AP4AH,Ap4A hydrolase,ap4a_c + h2o_c <=> 2.0 adp_c + 2.0 h_c,-999999.0,999999.0,YDR305C,
APRTO2,N acetylputrescine oxygen oxireductase  deaminating,aprut_c + h2o_c + o2_c --> h2o2_c + n4abutn_c + nh4_c,0.0,999999.0,,
ARAB14LO,D arabinono 1 4 lactone oxidase,Dara14lac_c + o2_c <=> ertascb__D_c + h2o2_c,-999999.0,999999.0,YML086C,
BACCL,Biotin acetyl CoA carboxylase ligase,atp_c + btn_c + h_c --> btamp_c + ppi_c,0.0,999999.0,YDL141W,
3HAO,3 hydroxyanthranilate 3 4 dioxygenase,3hanthrn_c + o2_c --> cmusa_c + h_c,0.0,999999.0,YJR025C,
ARAB1D2,D arabinose 1 dehydrogenase  NADP,arab__D_c + nadp_c --> Dara14lac_c + h_c + nadph_c,0.0,999999.0,YBR149W,
