metabolite_id,metabolite_name,compartment,formula,charge
14glucan_p,"1,4-alpha-D-glucan",C_p,C36H62O31,0
15dap_c,"1,5-Diaminopentane",C_c,C5H16N2,2
1ddecg3p_c,1-dodecanoyl-sn-glycerol 3-phosphate,C_c,C15H29O7P,-2
1hdec9eg3p_c,1-hexadec-9-enoyl-sn-glycerol 3-phosphate,C_c,C19H35O7P,0
1p2cbxl_c,1-Pyrroline-2-carboxylate,C_c,C5H6NO2,0
1p3h5c_c,L 1 Pyrroline 3 hydroxy 5 carboxylate C5H6NO3,C_c,C5H6NO3,-1
1pyr5c_c,1-Pyrroline-5-carboxylate,C_c,C5H6NO2,-1
1tdec7eg3p_c,1-tetradec-7-enoyl-sn-glycerol 3-phosphate,C_c,C17H31O7P,-2
23ddhb_c,"2,3-Dihydro-2,3-dihydroxybenzoate",C_c,C7H7O4,0
23dhb_c,"2,3-Dihydroxybenzoate",C_c,C7H5O4,-1
23dhdp_c,"2,3-Dihydrodipicolinate",C_c,C7H5NO4,-2
23dhmb_c,"(R)-2,3-Dihydroxy-3-methylbutanoate",C_c,C5H9O4,-1
23dhmp_c,"(R)-2,3-Dihydroxy-3-methylpentanoate",C_c,C6H11O4,-1
25aics_c,(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate,C_c,C13H15N4O12P,-4
25dhpp_c,2 5 Diamino 6 hydroxy 4  5  phosphoribosylamino  pyrimidine C9H14N5O8P,C_c,C9H14N5O8P,-2
25dkglcn_c,"2,5-diketo-D-gluconate",C_c,C6H7O7,-1
25dkglcn_e,"2,5-diketo-D-gluconate",C_e,C6H7O7,-1
25dkglcn_p,"2,5-diketo-D-gluconate",C_p,C6H7O7,-1
25drapp_c,"2,5-Diamino-6-(ribosylamino)-4-(3H)-pyrimidinone 5'-phosphate",C_c,C9H14N5O8P,-2
26dap_LL_c,"LL-2,6-Diaminoheptanedioate",C_c,C7H14N2O4,0
26dap__M_c,"Meso-2,6-Diaminoheptanedioate",C_c,C7H14N2O4,0
2agpe120_c,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0),C_c,C17H36NO7P,0
2agpe120_p,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0),C_p,C17H36NO7P,0
2agpe141_c,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1),C_c,C19H38NO7P,0
2agpe141_p,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1),C_p,C19H38NO7P,0
2agpe161_c,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1),C_c,C21H42NO7P,0
2agpe161_p,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1),C_p,C21H42NO7P,0
2agpe181_c,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1),C_c,C23H46NO7P,0
2agpe181_p,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1),C_p,C23H46NO7P,0
2agpg120_c,2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0),C_c,C18H36O9P,0
2agpg120_p,2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0),C_p,C18H36O9P,0
2agpg140_c,2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0),C_c,C20H40O9P,-1
2agpg140_p,2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0),C_p,C20H40O9P,-1
2agpg141_c,2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1),C_c,C20H38O9P,-1
2agpg141_p,2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1),C_p,C20H38O9P,-1
2agpg160_c,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0),C_c,C22H44O9P,-1
2agpg160_p,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0),C_p,C22H44O9P,-1
2agpg161_c,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1),C_c,C22H42O9P,0
2agpg161_p,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1),C_p,C22H42O9P,0
2agpg180_c,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0),C_c,C24H48O9P,0
