reaction_id,reaction_name,equation,lower_bound,upper_bound,gene_rule,subsystem
2AGPGAT160,2-acyl-glycerophospho-glycerol acyltransferase (n-C16:0),2agpg160_c + atp_c + hdca_c --> amp_c + pg160_c + ppi_c,0.0,1000.0,,
2AGPGAT161,2-acyl-glycerophospho-glycerol acyltransferase (n-C16:1),2agpg161_c + atp_c + hdcea_c --> amp_c + pg161_c + ppi_c,0.0,1000.0,,
2AGPGAT180,2-acyl-glycerophospho-glycerol acyltransferase (n-C18:0),2agpg180_c + atp_c + ocdca_c --> amp_c + pg180_c + ppi_c,0.0,1000.0,,
2AGPGAT181,2-acyl-glycerophospho-glycerol acyltransferase (n-C18:1),2agpg181_c + atp_c + ocdcea_c --> amp_c + pg181_c + ppi_c,0.0,1000.0,,
2DGLCNRx,2-dehydro-D-gluconate reductase (NADH),2dhglcn_c + h_c + nadh_c --> glcn_c + nad_c,0.0,1000.0,XP_023463808_1,
2DGLCNRy,2-dehydro-D-gluconate reductase (NADPH),2dhglcn_c + h_c + nadph_c --> glcn_c + nadp_c,0.0,1000.0,XP_023463808_1,
2DGULRGx,2-Dehydro-L-gulonate reductase to gluconate (NADH),2dhguln_c + h_c + nadh_c --> glcn_c + nad_c,0.0,1000.0,XP_023463808_1,
2DGULRGy,2-Dehydro-L-gulonate reductase to gluconate (NADPH),2dhguln_c + h_c + nadph_c --> glcn_c + nadp_c,0.0,1000.0,XP_023463808_1,
2DGULRx,2-dehydro-L-gulonate reductase (NADH),2dhguln_c + h_c + nadh_c --> idon__L_c + nad_c,0.0,1000.0,XP_023463808_1,
2DGULRy,2-dehydro-L-gulonate reductase (NADPH),2dhguln_c + h_c + nadph_c --> idon__L_c + nadp_c,0.0,1000.0,XP_023463808_1,
2DHGLCNkt_tpp,2 ketogluconate transporter,2dhglcn_p + h_p --> 2dhglcn_c + h_c,0.0,1000.0,,
2DHGLCNtex,Ketogluconate transport via diffusion  extracellular to periplasm,2dhglcn_e <=> 2dhglcn_p,-1000.0,1000.0,,
2DHPFALDL,2-dehydropantoate formaldehyde-lyase (3-methyl-2-oxobutanoate-forming),2dhp_c <=> 3mob_c + fald_c,-1000.0,1000.0,XP_023470365_1,
2MBALDt,2 Methylbutanal transport  extracellular,2mbald_c <=> 2mbald_e,-1000.0,1000.0,,
2OBUT_Et,2-Oxobutanoate transport (transport mechanism unknown - evidence from biolog data),2obut_e <=> 2obut_c,-1000.0,1000.0,,
2PGLYCt6,2 Phosphoglycolate transport inout via proton symport,2pglyc_e + h_e <=> 2pglyc_c + h_c,-1000.0,1000.0,,
34HPPOR,4 Hydroxyphenylpyruvateoxygen oxidoreductase,34hpp_c + o2_c --> co2_c + hgentis_c,0.0,1000.0,XP_023470930_1,
34dhpactex,Dihydroxyphenylacetaldehyde transport via diffusion (extracellular to periplasm),34dhpac_e <=> 34dhpac_p,-1000.0,1000.0,,
3HBCOAHL,3-hydroxyisobutyryl-CoA hydrolase,3hibutcoa_c + h2o_c --> 3hmp_c + coa_c + h_c,0.0,1000.0,,
3HSA,MNXR19078,9ohadd_c --> 3hsa_c,0.0,1000.0,,
3MOPDC,3 Methyl 2 oxopentanoate decarboxylase,3mop_c + h_c --> 2mbald_c + co2_c,0.0,1000.0,XP_023463056_1,
3NUCLE4,3  nucleotidase  guanosine 3  phosphate,3gmp_c + h2o_c <=> gsn_c + pi_c,-1000.0,1000.0,XP_023469567_1,
3OADPCOAT,3-oxoadipate CoA-transferase,3oxoadp_c + succoa_c --> oxadpcoa_c + succ_c,0.0,1000.0,,
3OXCOAT,3-oxoadipyl-CoA thiolase,coa_c + oxadpcoa_c --> accoa_c + succoa_c,0.0,1000.0,,
3SALATAi,3-sulfino-alanine transaminase (irreversible),3sala_c + akg_c + h_c <=> 3snpyr_c + glu__L_c,-1000.0,1000.0,XP_023469313_1,
3_4DHBZ1t_pp,"3,4DHBZ1t LPAREN pp RPAREN",34dhbz_p + h_p --> 34dhbz_c + h_c,0.0,1000.0,,
3_4DHBZt2,Protocatechuate outher membrane transport,34dhbz_e <=> 34dhbz_p,-1000.0,1000.0,XP_023464321_1,
42A12BOOXpp,"4-(2-Aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)",dopa_p + h2o_p + o2_p --> 34dhpac_p + h2o2_p + nh4_p,0.0,1000.0,XP_023463036_1,
4ABUTD,4-Aminobutyraldehyde:NAD+ oxidoreductase,4abutn_c + h2o_c + nadp_c <=> 4abut_c + 2.0 h_c + nadph_c,-1000.0,1000.0,XP_023463229_1,
4CMLCL_kt,4-CARBOXYMUCONOLACTONE-DECARBOXYLASE-RXN,4cml_c + h_c --> 5odhf2a_c + co2_c,0.0,1000.0,,
4HALDD,Aldehyde dehydrogenase  4 hydroxyphenylacetaldehyde  NAD,4hoxpacd_c + h2o_c + nad_c <=> 4hphac_c + 2.0 h_c + nadh_c,-1000.0,1000.0,XP_023463260_1 or XP_023469229_1,
4HBADH,4 hydroxy benzyl alcohol dehydrogenase,4hba_c + nad_c <=> 4hbald_c + h_c + nadh_c,-1000.0,1000.0,,
4HPRO_LT_Et,Trans-4-Hydroxy-L-proline transport (transport mechanism unknown - evidence from biolog data),4hpro_LT_e <=> 4hpro_LT_c,-1000.0,1000.0,,
4HTHRK,4-Hydroxy-L-threonine kinase,4hthr_c + atp_c --> adp_c + h_c + phthr_c,0.0,1000.0,,
4HTHRS,4-Hydroxy-L-threonine synthase,h2o_c + phthr_c --> 4hthr_c + pi_c,0.0,1000.0,XP_023461134_1,
5DGLCNR,5-dehydro-D-gluconate reductase,5dglcn_c + h_c + nadph_c --> glcn_c + nadp_c,0.0,1000.0,XP_023463778_1,
5DKGR,5-keto-D-gluconate 5-reductase,glcn_c + nad_c <=> 5dglcn_c + h_c + nadh_c,-1000.0,1000.0,XP_023463778_1,
5DOAN,5'-deoxyadenosine nuclosidase,dad_5_c + h2o_c --> 5drib_c + ade_c,0.0,1000.0,,
AAAN,,acald_c + accoa_c + h_c + nadh_c <=> actn__S_c + coa_c + nad_c,-1000.0,1000.0,,
AABTN,4 acetamidobutyrate deacetylase,4aabutn_c + h2o_c --> 4abut_c + ac_c,0.0,1000.0,,
AACLAM,Acetyl adenylate CoA ligase AMP-forming,acadl_c + coa_c <=> accoa_c + amp_c,-1000.0,1000.0,XP_023464063_1,
AACOAT,Acetoacetyl-CoA:acetate CoA-transferase,acac_c + atp_c + coa_c --> aacoa_c + amp_c + ppi_c,0.0,1000.0,XP_023466733_1,
AACPS2,Acyl-[acyl-carrier-protein] synthetase  (n-C14:1),ACP_c + atp_c + ttdcea_c --> amp_c + ppi_c + tdeACP_c,0.0,1000.0,,
AACPS4,Acyl-[acyl-carrier-protein] synthetase  (n-C16:1),ACP_c + atp_c + hdcea_c --> amp_c + hdeACP_c + ppi_c,0.0,1000.0,,
AACPS7,Acyl-[acyl-carrier-protein] synthetase  (n-C12:0),ACP_c + atp_c + ddca_c --> amp_c + ddcaACP_c + ppi_c,0.0,1000.0,,
