reaction_id,reaction_name,subsystem
4HPRO_LTtm,Trans 4 hydroxy L proline mitochondrial transport via diffusion,
DPRm,2 dehydropantoate 2 reductase  mitochondrial,
ECOAH6p,3 hydroxyacyl CoA dehydratase  3 hydroxytetradecanoyl CoA   peroxisomal,
DRBK,Deoxyribokinase,
ECOAH7p,3 hydroxyacyl CoA dehydratase  3 hydroxyhexadecanoyl CoA   peroxisomal,
ECOAH8p,3 hydroxyacyl CoA dehydratase  3 hydroxyoctadecanoyl CoA   peroxisomal,
DROPPRy,2 5 diamino 6 ribosylamino 4 3H  pyrimidinone 5  phosphate reductase  nadph,
4HTHRS,4-Hydroxy-L-threonine synthase,
DRTPPD,2 5 diamino 6 ribitylamino 4 3H  pyrimidinone 5  phosphate deaminase,
EHGLAT,L erythro 4 Hydroxyglutamate2 oxoglutarate aminotransferase,
EHGLATm,L erythro 4 Hydroxyglutamate2 oxoglutarate aminotransferase  mitochondrial,
EHGLATp,L erythro 4 Hydroxyglutamate2 oxoglutarate aminotransferase  peroxisomal,
ENO,Enolase,
EPGALURSe,Endopolygalacturonase  extracellular,
EPISTAT_SC,Acyl CoAepisterol acyltransferase  yeast specific,
DTMPK,DTMP kinase,
DTTPt,DTTP reversible uniport,
DUMPtn,DUMP nuclear transport,
DURIK1,Deoxyuridine kinase (ATP:Deoxyuridine),
DURIPP,Deoxyuridine phosphorylase,
DURIt2,Deoxyuridine transport in via proton symport,
DUTPDP,DUTP diphosphatase,
EPISTESTH_SC,Episterol ester hydrolase  yeast specific,
EPISTESTH_SCe,Episterol ester hydrolase  yeast specific  extracellular,
EPISTt,Episterol reversible transport,
DXHPScm,Deoxyhypusine synthase  cytosolicmitochondrial,
D_LACDcm,D lactate dehydrogenase  cytosolicmitochondrial,
EPMGH,Epimelibiose galactohydrolase,
4MOPDC,4 Methyl 2 oxopentanoate decarboxylase,
ERGSTAT_SC,Acyl CoAergosterol acyltransferase  yeast specific,
ERGSTESTH_SC,Ergosterol ester hydrolase  yeast specific,
