reaction_id,reaction_name,subsystem
DHBS,"2,3-dihydroxybenzoate adenylate synthase",
EX_2pglyc_e,2 Phosphoglycolate exchange,
DHDPRy,Dihydrodipicolinate reductase (NADPH),
DHDPS,Dihydrodipicolinate synthase,
G5SADs,L-glutamate 5-semialdehyde dehydratase (spontaneous),
G6Pt6_2,Glucose-6-phosphate transport via phosphate antiport,
GALTpts,Galactitol transport via PEP:Pyr PTS,
FOLR2,Folate reductase,
DHFR,Dihydrofolate reductase,
DHFS,Dihydrofolate synthase,
DHNAOT7,1 4 dihydroxy 2 naphthoate octaprenyltransferase,
EX_3amba_e,3 aminobutanoic acid exchange,
EX_3amp_e,3'-AMP exchange,
GAM6Pt,D glucosamine 6 phosphate reversible uniport,
EX_3cmp_e,3'-cmp exchange,
GGTT,Geranylgeranyltranstransferase,
GCALDD,Glycolaldehyde dehydrogenase,
EX_3gmp_e,3'-GMP exchange,
GAPD,Glyceraldehyde-3-phosphate dehydrogenase,
G1Dx,Glucose 1 dehydrogenase  NAD,
GALt2,D galactose transport in via proton symport,
DHNPA_1,Dihydroneopterin aldolase,
DHORTS,Dihydroorotase,
DHORDi,Dihydoorotic acid dehydrogenase  irreversible,
EX_3pg_e,3 Phospho D glycerate exchange,
GK1,Guanylate kinase (GMP:ATP),
ETHSabc,Ethanesulfonate transport via ABC system,
GBBTNabc,Gamma butyrobetaine transport in via ABC system,
GK2,Guanylate kinase  GMPdATP,
GLCRAL_1,5 dehydro 4 deoxyglucarate aldolase,
GLU_Dt2,D glutamate transport in via proton symport,
DINSK,Deoxyinosine kinase,
GLXt2,Glyoxylate transport in via proton symport,
GLYCOGENt,Glycogen transport in,
FE3t,"Ferric iron uptake, plasma membrane",
DHQTi,"3-dehydroquinate dehydratase, irreversible",
FEDCabc,Iron  III  dicitrate transport via ABC system,
GLYt2r,Glycine reversible transport via proton symport,
FERXAabc,Ferroxamine transport via ABC system,
GMPt6,GMP transport inout via proton symport,
DHQS,3-dehydroquinate synthase,
H2Ot,H2O transport via diffusion,
FFSD,Beta-fructofuranosidase,
FGLU_1,Formimidoylglutamase,
FLVR_1,Flavin reductase,
FMETDF,Formylmethionine deformylase,
FMNRy,FMN reductase  NADPH dependent,
HCO3E,HCO3 equilibration reaction,
HEMECS,Heme C synthase,
HEMEDS,Heme D synthase,
FMETTRS_1,Methionyl tRNA formyltransferase,
FMNAT,FMN adenylyltransferase,
FORt2,Formate transport in via proton symport,
GSNt2,Guanosine transport in via proton symport,
DIPEPabc1,Dipeptide transport via ABC system  ala asp,
GLYBt2r,"Glycine betaine transport via proton symport, reversible",
GLYO1,Glycine oxidase,
FTHFD,Formyltetrahydrofolate deformylase,
HEX7,Hexokinase (D-fructose:ATP),
FUM,Fumarase,
DKI,5 Dehydro 4 deoxy D glucuronate ketol isomerase,
FUMt2r,Fumarate reversible transport via symport,
GTPCII,GTP cyclohydrolase II,
G1PACT,Glucosamine-1-phosphate N-acetyltransferase,
GRTT,Geranyltranstransferase,
G1PPDM,Glucose 1 phosphate phosphodismutase,
DKII,2 dehydro 3 deoxy D gluconate 5 dehydrogenase,
G3PCT,Glycerol-3-phosphate cytidylyltransferase,
GLCRt2r,"D-glucarate transport via proton symport, reversible",
GLCURt2r,"D-glucuronate transport via proton symport, reversible",
G1SAT,Glutamate-1-semialdehyde aminotransferase,
DKMD2K,1 2 dihydroxy 3 keto 5 methylthiopentene dioxygenase  2 keto 4 methylthiobutyrate,
G3PD1ir,Glycerol 3 phosphate dehydrogenase  NAD,
G3PD4,Glycerol 3 phosphate dehydrogenase  menaquinone 7,
GLCP,Glycogen phosphorylase,
GLCRD_1,Glucarate dehydratase,
GLCS1,Glycogen synthase (ADPGlc),
G5SD,Glutamate-5-semialdehyde dehydrogenase,
G6PDH2r,Glucose 6-phosphate dehydrogenase,
G6PDA,Glucosamine-6-phosphate deaminase,
G6PI,Glucose 6 phosphate isomerase,
GLCt2,D-glucose transport in via proton symport,
GALCTD_1,Galactarate dehydratase,
GLNS,Glutamine synthetase,
GALCTRt2,Galactarate transport in via proton symport,
GLGC,Glucose-1-phosphate adenylyltransferase,
DKMD3M,1 2 dihydroxy 3 keto 5 methylthiopentene dioxygenase  3 methylthiopropionate,
GLNabc,L-glutamine transport via ABC system,
GLTPD,Galactitol-1-phosphate dehydrogenase,
GLUPRT,Glutamine phosphoribosyldiphosphate amidotransferase,
GALKr,Galactokinase,
GALS1,A galactosidase  galactomannan,
GALS2,A galactosidase  galactose oligosaccharides,
GALS3,A-galactosidase (melibiose),
GALS4,A galactosidase  stachyose,
GLU5K,Glutamate 5-kinase,
GALT,Galactose 1 phosphate uridylyltransferase,
GLUDxi,Glutamate dehydrogenase  NAD,
GALUi,UTP-glucose-1-phosphate uridylyltransferase (irreversible),
DM1PE,2 3 diketo 5 methylthiopentyl 1 phosphate enolase,
GALURt2r,"D-galacturonate transport via proton symport, reversible",
GLUN,Glutaminase,
GLUTRR,Glutamyl-tRNA reductase,
GAMpts,D-glucosamine transport via PEP:Pyr PTS,
DMATT,Dimethylallyltranstransferase,
GAPDi_nadp,Glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating),
GLUR,Glutamate racemase,
GLUSy,Glutamate synthase (NADPH),
GLUTRS,Glutamyl-tRNA synthetase,
GLUt4,Na+/glutamate symport,
GLUt2r,L glutamate transport via proton symport  reversible,
GLXCBL,Glyoxalate carboligase,
GARFT,Phosphoribosylglycinamide formyltransferase,
GART,GAR transformylase-T,
GBEZY,1 4 alpha glucan branching enzyme,
GF6PTA,Glutamine-fructose-6-phosphate transaminase,
GGTAe2,Gamma glutamyltransferase,
GLY3Pt2,Glycerol 3 phosphate transport in via proton symport,
DMPPS,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (dmpp),
GLYAT,Glycine C-acetyltransferase,
GLYCK,Glycerate kinase,
GHMT2r,"Glycine hydroxymethyltransferase, reversible",
GLCNt2ir,D gluconate transport via proton symport,
DPCOAK,Dephospho-CoA kinase,
GLYCTO1,Glycolate oxidase,
HIBHr,3 hydroxyisobutyryl CoA hydrolase,
GLYCLTt2r,"Glycolate transport via proton symport, reversible",
