condition,reaction_id,reaction_name,flux,subsystem,equation
starch_aerobic,LACLt2,,-63.23317704588999,,lac__L_e <=> lac__L_c
starch_aerobic,LAT,R00457,2.275685389012203,,akg_c + lys__L_c <=> L2aadp6sa_c + glu__L_c
starch_aerobic,LDH_L,L-lactate dehydrogenase,-63.23317704588999,,lac__L_c + nad_c <=> h_c + nadh_c + pyr_c
starch_aerobic,LEUTA,Leucine transaminase,-0.40232045686885703,,akg_c + leu__L_c <=> 4mop_c + glu__L_c
starch_aerobic,MDH,Malate dehydrogenase,0.928777480034464,,mal__L_c + nad_c <=> h_c + nadh_c + oaa_c
starch_aerobic,METAT,Methionine adenosyltransferase,0.000288436328618108,,atp_c + h2o_c + met__L_c --> amet_c + pi_c + ppi_c
starch_aerobic,METB1,Metb1 (rev),-0.08249368297650585,,achms_c + cys__L_c <=> ac_c + cyst__L_c + h_c
starch_aerobic,METS,Methionine synthase,0.13752876326360627,,5mthf_c + hcys__L_c --> h_c + met__L_c + thf_c
starch_aerobic,MEVK1,Mevalonate kinase  atp,0.9830052957981533,,atp_c + mev__R_c --> 5pmev_c + adp_c + h_c
starch_aerobic,MGt5,Magnesium transport in/out via permease (no H+),-0.007746703253133158,,mg2_c <=> mg2_e
starch_aerobic,MNt2,Manganese transport in via proton symport,0.0006170572850622492,,h_e + mn2_e --> h_c + mn2_c
starch_aerobic,MOHMT,3-methyl-2-oxobutanoate hydroxymethyltransferase,0.0005143632361734873,,3mob_c + h2o_c + mlthf_c --> 2dhp_c + thf_c
starch_aerobic,MTHFC,Methenyltetrahydrofolate cyclohydrolase,0.8823892386638004,,h2o_c + methf_c <=> 10fthf_c + h_c
starch_aerobic,MTHFD,Methylenetetrahydrofolate dehydrogenase (NADP),0.8823892386638004,,mlthf_c + nadp_c <=> methf_c + nadph_c
starch_aerobic,MTHFR3,5 10 methylenetetrahydrofolatereductase  NADPH,0.13752876326360627,,2.0 h_c + mlthf_c + nadph_c --> 5mthf_c + nadp_c
starch_aerobic,NADH10,NADH dehydrogenase (menaquinone-8 & 0 protons),3.8958751938087373,,h_c + mqn8_c + nadh_c --> mql8_c + nad_c
starch_aerobic,NADK,NAD kinase,0.000399167303072101,,atp_c + nad_c --> adp_c + h_c + nadp_c
